,title,date,stock
0,Quicken Loans Plans To IPO: Report,2020-06-11 17:12:00-04:00,WFC
1,PG&E Corp Reports CPUC Approved Co.'s Microgrid Proposals,2020-06-11 17:11:00-04:00,PCG
2,"Twitter Removes About 174,000 China-Linked Accounts, Also Says It Took Down Accounts Linked to Russian, Turkish Propaganda Efforts",2020-06-11 17:01:00-04:00,TWTR
3,"Financials, Energy Among Worst-Hit Sectors In Biggest Single-Day Selloff Since March",2020-06-11 16:51:00-04:00,WMT
4,W. P. Carey Inc. Increases Quarterly Dividend to $1.042/Share,2020-06-11 16:30:00-04:00,WPC
5,PVH shares are trading lower after the company reported worse-than-expected Q1 EPS and sales results.,2020-06-11 16:25:00-04:00,PVH
6,PVH: Q1 Earnings Insights,2020-06-11 16:24:00-04:00,PVH
7,"PVH Q1 Adj. EPS $(3.03) Misses $(1.28) Estimate, Sales $1.34B Miss $1.40B Estimate",2020-06-11 16:15:00-04:00,PVH
8,Why Tyson Foods Stock Is Trading Lower Today,2020-06-11 15:32:00-04:00,TSN
9,An ETF Play On Laggard Stocks,2020-06-11 15:25:00-04:00,WMT
10,UPDATE: Feinseth Says 'You also have Comcast which owns Universal which includes the DC comics movies as well as the fast and furious franchise and a lot of others which is launching its streaming service Peacock.',2020-06-11 14:22:00-04:00,T
11,"UPDATE: Feinseth Says Believes Disney+ Will Become Number One Streaming Service; Says Believes Co. Will Remain Focused On Its Own Content, Notes 'Powerful' Franchises Such As Star Wars And Marvel",2020-06-11 14:22:00-04:00,T
12,UPDATE: Tigress's Feinseth Says 'I think that Netflix will continue to be a large buyer of content as well as developer and so will Apple and Amazon'; Notes Apple Outbid Netflix For Scorsese's 'Killers of the Flower Moon' And Tom Hanks' 'The Greyhound',2020-06-11 14:22:00-04:00,T
13,Tigress Financial Analyst Ivan Feinseth On Film Companies Striking Deals With Streaming Services Says 'I think that you could see simultaneous releases both in theater and available on pay-per-view at major premium prices at the same time.',2020-06-11 14:22:00-04:00,T
14,Yum! Brands Files Lawsuit Against GrubHub Related To Terminated Agreement,2020-06-11 13:37:00-04:00,YUM
15,"Shares of several healthcare companies are trading lower in sympathy with the overall market following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a potential second wave of the virus.",2020-06-11 12:48:00-04:00,NVS
16,"Shares several of technology companies are trading lower, selling off following Wednesday strength as an increase in coronavirus cases in some US states has led to concerns of a second wave of the virus.",2020-06-11 12:47:00-04:00,PANW
17,Mid-Day Market Update: Dow Plunges Over 1100 Points; Reata Pharmaceuticals Shares Jump,2020-06-11 12:04:00-04:00,KR
18,PreMarket Prep Stock Of The Day: Wells Fargo,2020-06-11 11:47:00-04:00,WFC
